city_id,name,image,type,description,location,rating,schedule,sponsored,room_types,amenities
1,Sofitel Rabat Jardin des Roses,https://placehold.co/600x400.png,Hotel,"A luxury hotel with beautiful gardens, a spa, and gourmet dining.","34°1'50'N, 6°49'39'W",4.8,,0,"['Deluxe Room', 'Superior Suite', 'Luxury Suite']","['Free WiFi', 'Spa', 'Pool', 'Fitness Center']"
1,Hotel Le Diwan Rabat - MGallery,https://placehold.co/600x400.png,Hotel,"A stylish hotel located in the heart of the city, known for its comfortable rooms and excellent service.","34°1'33'N, 6°49'23'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Restaurant', 'Bar', 'Airport Shuttle']"
1,The View Hotel,https://placehold.co/600x400.png,Hotel,"Offers modern amenities, stunning views, and a rooftop terrace.","34°0'59'N, 6°49'35'W",4.7,,0,"['Standard Room', 'Executive Room', 'Presidential Suite']","['Free WiFi', 'Pool', 'Rooftop Terrace', 'Fitness Center']"
2,Hyatt Regency Casablanca,https://placehold.co/600x400.png,Hotel,"Located in the city center, offering luxurious rooms and extensive facilities.","33°35'33'N, 7°37'9'W",4.6,,0,"['Standard Room', 'Club Room', 'Suite']","['Free WiFi', 'Pool', 'Spa', 'Fitness Center']"
2,Four Seasons Hotel Casablanca,https://placehold.co/600x400.png,Hotel,A beachfront hotel with upscale accommodations and fine dining.,"33°37'3'N, 7°41'27'W",4.9,,0,"['Premier Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Beach Access', 'Spa', 'Pool']"
2,Kenzi Tower Hotel,https://placehold.co/600x400.png,Hotel,"Features panoramic city views, a spa, and an array of dining options.","33°35'34'N, 7°37'2'W",4.5,,0,"['Standard Room', 'Executive Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
3,El Minzah Hotel,https://placehold.co/600x400.png,Hotel,"A historic hotel blending Moroccan and Andalusian styles, with a spa and fine dining.","35°46'47'N, 5°48'5'W",4.6,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Spa', 'Pool', 'Restaurant']"
3,Hilton Tanger City Center Hotel & Residences,https://placehold.co/600x400.png,Hotel,"Modern hotel with spacious rooms, a rooftop pool, and a central location.","35°46'39'N, 5°48'36'W",4.7,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Rooftop Pool', 'Fitness Center', 'Restaurant']"
3,Movenpick Hotel & Casino Malabata Tanger,https://placehold.co/600x400.png,Hotel,"Offers luxurious accommodations, a casino, and stunning views of the bay.","35°46'48'N, 5°46'58'W",4.5,,0,"['Standard Room', 'Deluxe Room', 'Suite']","['Free WiFi', 'Casino', 'Pool', 'Restaurant']"
4,Michlifen Resort & Golf,https://placehold.co/600x400.png,Hotel,"A luxurious mountain resort with a spa, golf course, and beautiful alpine views.","33°31'52'N, 5°6'49'W",4.8,,0,"['Deluxe Room', 'Superior Room', 'Suite']","['Free WiFi', 'Golf Course', 'Spa', 'Pool']"
